Transaction ID,Transaction Date,Account Name,Transaction Description,Transaction Line Description,Amount (One column), ,Debit Amount (Two Column Approach),Credit Amount (Two Column Approach),Other Accounts for this Transaction,Customer,Vendor,Invoice Number,Bill Number,Notes / Memo,Amount Before Sales Tax,Sales Tax Amount,Sales Tax Name,Transaction Date Added,Transaction Date Last Modified,Account Group,Account Type,Account ID
2026260302072478611,2024-06-15,Cash on Hand,Write a Description,,1342.29,,1342.29,,Starting Balance,,,,,,1342.29,,,2024-06-15,2024-07-10,Asset,Cash and Bank,
2026260302072478611,2024-06-15,Starting Balance,Write a Description,,1342.29,,,1342.29,Cash on Hand,,,,,,1342.29,,,2024-06-15,2024-07-10,Income,Other Income,Start
2027614418279430907,2024-06-16,Cash on Hand,Pizza for Walsenburg Kids,,-33.64,,,33.64,Meals and Entertainment,,,,,Walsenburg kids 2 pizzas at Godfather's,-33.64,,,2024-06-17,2024-07-10,Asset,Cash and Bank,
2027614418279430907,2024-06-16,Meals and Entertainment,Pizza for Walsenburg Kids,,33.64,,33.64,,Cash on Hand,,,,,Walsenburg kids 2 pizzas at Godfather's,33.64,,,2024-06-17,2024-07-10,Expense,Operating Expense,
2029785450754964346,2024-06-19,Cash on Hand,Stickers,,-52.21,,,52.21,Advertising & Promotion,,,,,,-52.21,,,2024-06-20,2024-07-10,Asset,Cash and Bank,
2029785450754964346,2024-06-19,Advertising & Promotion,Stickers,,52.21,,52.21,,Cash on Hand,,,,,,52.21,,,2024-06-20,2024-07-10,Expense,Operating Expense,
2030511205528992341,2024-06-20,Cash on Hand,Walmart - Cookies,,-31.00,,,31.00,Meals and Entertainment,,,,,For meet and greet,-31.00,,,2024-06-21,2024-07-10,Asset,Cash and Bank,
2030511205528992341,2024-06-20,Meals and Entertainment,Walmart - Cookies,,31.00,,31.00,,Cash on Hand,,,,,For meet and greet,31.00,,,2024-06-21,2024-07-10,Expense,Operating Expense,
2032683819458460361,2024-06-23,Cash on Hand,Ice Cream for Reward,,-12.70,,,12.70,Meals and Entertainment,,,,,Ice cream for reward,-12.70,,,2024-06-24,2024-07-10,Asset,Cash and Bank,
2032683819458460361,2024-06-23,Meals and Entertainment,Ice Cream for Reward,,12.70,,12.70,,Cash on Hand,,,,,Ice cream for reward,12.70,,,2024-06-24,2024-07-10,Expense,Operating Expense,
2033403240304966222,2024-06-24,Cash on Hand,Gas,,-61.03,,,61.03,Vehicle – Fuel,,,,,,-61.03,,,2024-06-25,2024-07-10,Asset,Cash and Bank,
2033403240304966222,2024-06-24,Vehicle – Fuel,Gas,,61.03,,61.03,,Cash on Hand,,,,,,61.03,,,2024-06-25,2024-07-10,Expense,Operating Expense,
2033403841122237032,2024-06-25,Cash on Hand,Convention Fee,,-10.00,,,10.00,Education & Training,,,,,,-10.00,,,2024-06-25,2024-07-10,Asset,Cash and Bank,
2033403841122237032,2024-06-25,Education & Training,Convention Fee,,10.00,,10.00,,Cash on Hand,,,,,,10.00,,,2024-06-25,2024-07-10,Expense,Operating Expense,
2037082265728678669,2024-06-30,Cash on Hand,Facebook Ad,,-31.35,,,31.35,Advertising & Promotion,,,,,Facebook Ads,-31.35,,,2024-06-30,2024-07-10,Asset,Cash and Bank,
2037082265728678669,2024-06-30,Advertising & Promotion,Facebook Ad,,31.35,,31.35,,Cash on Hand,,,,,Facebook Ads,31.35,,,2024-06-30,2024-07-10,Expense,Operating Expense,
2038482213833636481,2024-07-02,Cash on Hand,Amazon Market Place,,-45.55,,,45.55,Computer – Hardware,,,,,,-45.55,,,2024-07-02,2024-07-10,Asset,Cash and Bank,
2038482213833636481,2024-07-02,Computer – Hardware,Amazon Market Place,,45.55,,45.55,,Cash on Hand,,,,,,45.55,,,2024-07-02,2024-07-10,Expense,Operating Expense,
2044279743855033133,2024-07-09,Cash on Hand,Access Ramp,,-271.04,,,271.04,Maintenance,,,,,Handicap Ramp for access,-271.04,,,2024-07-10,2024-07-10,Asset,Cash and Bank,
2044279743855033133,2024-07-09,Maintenance,Access Ramp,,271.04,,271.04,,Cash on Hand,,,,,Handicap Ramp for access,271.04,,,2024-07-10,2024-07-10,Expense,Operating Expense,
2047222822429883192,2024-07-13,Cash on Hand,First Choice Walsenburg,,-32.49,,,32.49,Meals and Entertainment,,,,,Pizza for the students,-32.49,,,2024-07-14,2024-07-23,Asset,Cash and Bank,
2047222822429883192,2024-07-13,Meals and Entertainment,First Choice Walsenburg,,32.49,,32.49,,Cash on Hand,,,,,Pizza for the students,32.49,,,2024-07-14,2024-07-23,Expense,Operating Expense,
2053705353245326309,2024-07-22,Cash on Hand,Coffee Mugs,,-411.41,,,411.41,Advertising & Promotion,,,,,Coffee Mugs for trade show table,-411.41,,,2024-07-23,2024-07-23,Asset,Cash and Bank,
2053705353245326309,2024-07-22,Advertising & Promotion,Coffee Mugs,,411.41,,411.41,,Cash on Hand,,,,,Coffee Mugs for trade show table,411.41,,,2024-07-23,2024-07-23,Expense,Operating Expense,
2055870598755744083,2024-07-26,Cash on Hand,Refund from discount mugs,,51.35,,51.35,,Advertising & Promotion,,,,,,51.35,,,2024-07-26,2024-07-26,Asset,Cash and Bank,
2055870598755744083,2024-07-26,Advertising & Promotion,Refund from discount mugs,,-51.35,,,51.35,Cash on Hand,,,,,,-51.35,,,2024-07-26,2024-07-26,Expense,Operating Expense,
2056271663993027426,2024-07-26,Cash on Hand,BOCES Payment,,3010.35,,3010.35,,BOCES,,,,,,3010.35,,,2024-07-27,2024-07-27,Asset,Cash and Bank,
2056271663993027426,2024-07-26,BOCES,BOCES Payment,,3010.35,,,3010.35,Cash on Hand,,,,,,3010.35,,,2024-07-27,2024-07-27,Income,Income,BOC
2058779973547817607,2024-07-30,Cash on Hand,Lunch with Client - Kooper Kettle,,-70.01,,,70.01,Meals and Entertainment,,,,,,-70.01,,,2024-07-30,2024-07-31,Asset,Cash and Bank,
2058779973547817607,2024-07-30,Meals and Entertainment,Lunch with Client - Kooper Kettle,,70.01,,70.01,,Cash on Hand,,,,,,70.01,,,2024-07-30,2024-07-31,Expense,Operating Expense,
2059510690183477349,2024-07-30,Cash on Hand,Rent - Bill pay to PB&T,,-1500.00,,,1500.00,Rent Expense,,,,,,-1500.00,,,2024-07-31,2024-07-31,Asset,Cash and Bank,
2059510690183477349,2024-07-30,Rent Expense,Rent - Bill pay to PB&T,,1500.00,,1500.00,,Cash on Hand,,,,,,1500.00,,,2024-07-31,2024-07-31,Expense,Operating Expense,
2059511091276380300,2024-07-31,Cash on Hand,Facebook Ads,,-165.65,,,165.65,Advertising & Promotion,,,,,Facebook ads for the month of July 2024.,-165.65,,,2024-07-31,2024-07-31,Asset,Cash and Bank,
2059511091276380300,2024-07-31,Advertising & Promotion,Facebook Ads,,165.65,,165.65,,Cash on Hand,,,,,Facebook ads for the month of July 2024.,165.65,,,2024-07-31,2024-07-31,Expense,Operating Expense,
2060229737367828591,2024-08-01,Cash on Hand,Colorado Sec of State Business Registration,,-10.00,,,10.00,Government Fees,,,,,,-10.00,,,2024-08-01,2024-08-01,Asset,Cash and Bank,
2060229737367828591,2024-08-01,Government Fees,Colorado Sec of State Business Registration,,10.00,,10.00,,Cash on Hand,,,,,,10.00,,,2024-08-01,2024-08-01,Expense,Operating Expense,
2065297775372892586,2024-08-08,Cash on Hand,Ianne's Pizzaria - Pueblo,,-123.63,,,123.63,Meals and Entertainment,,,,,Pizza for lunch for boot camp for Spanish Speakers,-123.63,,,2024-08-08,2024-08-08,Asset,Cash and Bank,
